Crop,Variety, Stems ,Period
Hypericum,Magical Triumph,69490,09/03/2023
Hypericum,Royal Princess,4620,09/03/2023
Roses,Athena,28551,09/03/2023
Roses,Comanche,5544,09/03/2023
Roses,Flambo,3323,09/03/2023
Roses,Fuchsiana,11298,09/03/2023
Roses,Furiosa,9255,09/03/2023
Roses,H3O,7594,09/03/2023
Roses,Inka,8920,09/03/2023
Roses,Madam Cerise,750,09/03/2023
Roses,Ranuncula,4500,09/03/2023
Roses,Red Calypso,15396,09/03/2023
Roses,Smiley,1008,09/03/2023
Roses,Sonrisa,20870,09/03/2023
Roses,Sweet Unique,15856,09/03/2023
Roses,Topsun,9313,09/03/2023
Roses,Tropical Amazon,4041,09/03/2023
Roses,Wild Calypso,9603,09/03/2023
Hypericum,Green Revival,1800,10/03/2023
Hypericum,Magical Triumph,31020,10/03/2023
Hypericum,Royal Princess,5000,10/03/2023
Hypericum,Snow Prince,300,10/03/2023
Roses,Athena,16548,10/03/2023
Roses,Comanche,7133,10/03/2023
Roses,Flambo,5185,10/03/2023
Roses,Fuchsiana,20473,10/03/2023
Roses,Furiosa,6578,10/03/2023
Roses,H3O,2995,10/03/2023
Roses,Inka,8118,10/03/2023
Roses,Madam Cerise,750,10/03/2023
Roses,Red Calypso,5670,10/03/2023
Roses,Smiley,1008,10/03/2023
Roses,Sonrisa,17050,10/03/2023
Roses,Sweet Unique,19848,10/03/2023
Roses,Topsun,8488,10/03/2023
Roses,Tropical Amazon,1282,10/03/2023
Roses,Wild Calypso,1134,10/03/2023
Hypericum,Green Revival,5650,11/03/2023
Hypericum,Magical Triumph,27000,11/03/2023
Hypericum,Royal Princess,1750,11/03/2023
Hypericum,Snow Prince,300,11/03/2023
Roses,Athena,32935,11/03/2023
Roses,Comanche,21467,11/03/2023
Roses,Flambo,15146,11/03/2023
Roses,Fuchsiana,20337,11/03/2023
Roses,Furiosa,16787,11/03/2023
Roses,H3O,15023,11/03/2023
Roses,Inka,9458,11/03/2023
Roses,Madam Cerise,2010,11/03/2023
Roses,Red Calypso,14628,11/03/2023
Roses,Smiley,1512,11/03/2023
Roses,Sonrisa,29061,11/03/2023
Roses,Sweet Unique,20870,11/03/2023
Roses,Topsun,11554,11/03/2023
Roses,Tropical Amazon,8283,11/03/2023
Roses,Wild Calypso,9408,11/03/2023
Hypericum,Excellent Flair,1035,12/03/2023
Hypericum,Green Revival,2780,12/03/2023
Hypericum,Magical Triumph,7865,12/03/2023
Hypericum,Royal Princess,500,12/03/2023
Hypericum,Snow Prince,300,12/03/2023
Roses,Athena,19264,12/03/2023
Roses,Comanche,12035,12/03/2023
Roses,Flambo,5950,12/03/2023
Roses,Fuchsiana,12695,12/03/2023
Roses,Furiosa,11478,12/03/2023
Roses,H3O,13762,12/03/2023
Roses,Inka,3111,12/03/2023
Roses,Madam Cerise,990,12/03/2023
Roses,Ranuncula,9000,12/03/2023
Roses,Red Calypso,2174,12/03/2023
Roses,Smiley,1512,12/03/2023
Roses,Sonrisa,11483,12/03/2023
Roses,Sweet Unique,14993,12/03/2023
Roses,Topsun,9904,12/03/2023
Roses,Tropical Amazon,760,12/03/2023
Roses,Wild Calypso,1500,12/03/2023
Hypericum,Green Revival,3400,13/03/2023
Hypericum,Magical Seasons,3800,13/03/2023
Hypericum,Magical Triumph,31650,13/03/2023
Hypericum,Royal Princess,1500,13/03/2023
Roses,Athena,14215,13/03/2023
Roses,Comanche,6811,13/03/2023
Roses,Flambo,2315,13/03/2023
Roses,Fuchsiana,8638,13/03/2023
Roses,Furiosa,10094,13/03/2023
Roses,H3O,5736,13/03/2023
Roses,Inka,3956,13/03/2023
Roses,Madam Cerise,500,13/03/2023
Roses,Red Calypso,3578,13/03/2023
Roses,Smiley,1512,13/03/2023
Roses,Sonrisa,7247,13/03/2023
Roses,Sweet Unique,6965,13/03/2023
Roses,Topsun,4069,13/03/2023
Roses,Tropical Amazon,6648,13/03/2023
Roses,Wild Calypso,3486,13/03/2023
Hypericum,Green Revival,5590,14/03/2023
Hypericum,Magical Triumph,50760,14/03/2023
Hypericum,Royal Princess,4200,14/03/2023
Roses,Athena,20063,14/03/2023
Roses,Comanche,12644,14/03/2023
Roses,Flambo,1315,14/03/2023
Roses,Fuchsiana,16532,14/03/2023
